categoria_completa,categoria,nivel_1,nivel_2,nivel_3,nivel_4,categoria_real,quantidade,link
Informática / Impressão / Impressão 3D / Componentes de Impressoras 3D > Filamentos / Filamentos,Informática > Impressão > Impressão 3D > Componentes de Impressoras 3D > Filamentos,Informática,Impressão,Impressão 3D,Componentes de Impressoras 3D > Filamentos,Filamentos,2,https://lista.mercadolivre.com.br/informatica/impressao/impressao-3d/componentes-de-impressoras-3d/filamentos/chaveiros_NoIndex_True#applied_filter_id%3Dcategory%26applied_filter_name%3DCategorias%26applied_filter_order%3D1%26applied_value_id%3DMLB268509%26applied_value_name%3DFilamentos%26applied_value_order%3D1%26applied_value_results%3D2%26is_custom%3Dfalse
Informática / Impressão / Impressão 3D / Componentes de Impressoras 3D > Parafuso para Impressora 3D / Parafuso Impressora 3D,Informática > Impressão > Impressão 3D > Componentes de Impressoras 3D > Parafuso para Impressora 3D,Informática,Impressão,Impressão 3D,Componentes de Impressoras 3D > Parafuso para Impressora 3D,Parafuso Impressora 3D,1,https://lista.mercadolivre.com.br/informatica/impressao/impressao-3d/componentes-impressoras-3d/parafuso-impressora-3d/chaveiros_NoIndex_True#applied_filter_id%3Dcategory%26applied_filter_name%3DCategorias%26applied_filter_order%3D1%26applied_value_id%3DMLB372145%26applied_value_name%3DParafuso+para+Impressora+3D%26applied_value_order%3D2%26applied_value_results%3D1%26is_custom%3Dfalse
Informática / Impressão / Impressão 3D / Impressoras 3D / Impressoras 3D,Informática > Impressão > Impressão 3D > Impressoras 3D,Informática,Impressão,Impressão 3D,Impressoras 3D,Impressoras 3D,1,https://lista.mercadolivre.com.br/informatica/impressao/impressao-3d/impressoras-3d/chaveiros_NoIndex_True#applied_filter_id%3Dcategory%26applied_filter_name%3DCategorias%26applied_filter_order%3D3%26applied_value_id%3DMLB268508%26applied_value_name%3DImpressoras+3D%26applied_value_order%3D4%26applied_value_results%3D1%26is_custom%3Dfalse
Informática / Impressão / Impressão 3D / Arquivos STL / Arquivos Stl,Informática > Impressão > Impressão 3D > Arquivos STL,Informática,Impressão,Impressão 3D,Arquivos STL,Arquivos Stl,7,https://lista.mercadolivre.com.br/informatica/impressao/impressao-3d/arquivos-stl/chaveiros_NoIndex_True#applied_filter_id%3Dcategory%26applied_filter_name%3DCategorias%26applied_filter_order%3D3%26applied_value_id%3DMLB455820%26applied_value_name%3DArquivos+STL%26applied_value_order%3D1%26applied_value_results%3D7%26is_custom%3Dfalse
Informática / Impressão / Impressão 3D / Canetas 3D / Canetas 3D,Informática > Impressão > Impressão 3D > Canetas 3D,Informática,Impressão,Impressão 3D,Canetas 3D,Canetas 3D,5,https://lista.mercadolivre.com.br/informatica/impressao/impressao-3d/canetas-3d/chaveiros_NoIndex_True#applied_filter_id%3Dcategory%26applied_filter_name%3DCategorias%26applied_filter_order%3D3%26applied_value_id%3DMLB270105%26applied_value_name%3DCanetas+3D%26applied_value_order%3D2%26applied_value_results%3D5%26is_custom%3Dfalse
Informática / Impressão / Peças / Cabeça de Impressão / Cabeca Impressao,Informática > Impressão > Peças > Cabeça de Impressão,Informática,Impressão,Peças,Cabeça de Impressão,Cabeca Impressao,9,https://lista.mercadolivre.com.br/informatica/impressao/pecas/cabeca-impressao/chaveiros_NoIndex_True#applied_filter_id%3Dcategory%26applied_filter_name%3DCategorias%26applied_filter_order%3D3%26applied_value_id%3DMLB270423%26applied_value_name%3DCabe%C3%A7a+de+Impress%C3%A3o%26applied_value_order%3D1%26applied_value_results%3D9%26is_custom%3Dfalse
Informática / Impressão / Peças / Correias / Correias,Informática > Impressão > Peças > Correias,Informática,Impressão,Peças,Correias,Correias,1,https://lista.mercadolivre.com.br/informatica/impressao/pecas/correias/chaveiros_NoIndex_True#applied_filter_id%3Dcategory%26applied_filter_name%3DCategorias%26applied_filter_order%3D3%26applied_value_id%3DMLB270431%26applied_value_name%3DCorreias%26applied_value_order%3D2%26applied_value_results%3D1%26is_custom%3Dfalse
Informática / Impressão / Peças / Para Toners / Toners,Informática > Impressão > Peças > Para Toners,Informática,Impressão,Peças,Para Toners,Toners,1,https://lista.mercadolivre.com.br/informatica/impressao/pecas/toners/chaveiros_NoIndex_True#applied_filter_id%3Dcategory%26applied_filter_name%3DCategorias%26applied_filter_order%3D3%26applied_value_id%3DMLB455823%26applied_value_name%3DPara+Toners%26applied_value_order%3D3%26applied_value_results%3D1%26is_custom%3Dfalse
Informática / Impressão / Suprimentos de Impressão / Papéis para Impressão / Papeis Impressao,Informática > Impressão > Suprimentos de Impressão > Papéis para Impressão,Informática,Impressão,Suprimentos de Impressão,Papéis para Impressão,Papeis Impressao,3,https://lista.mercadolivre.com.br/informatica/impressao/suprimentos-impressao/papeis-impressao/chaveiros_NoIndex_True#applied_filter_id%3Dcategory%26applied_filter_name%3DCategorias%26applied_filter_order%3D3%26applied_value_id%3DMLB1684%26applied_value_name%3DPap%C3%A9is+para+Impress%C3%A3o%26applied_value_order%3D2%26applied_value_results%3D3%26is_custom%3Dfalse
Informática / Impressão / Suprimentos de Impressão / Fitas Térmicas / Fitas Termicas,Informática > Impressão > Suprimentos de Impressão > Fitas Térmicas,Informática,Impressão,Suprimentos de Impressão,Fitas Térmicas,Fitas Termicas,1,https://lista.mercadolivre.com.br/informatica/impressao/suprimentos-impressao/fitas-termicas/chaveiros_NoIndex_True#applied_filter_id%3Dcategory%26applied_filter_name%3DCategorias%26applied_filter_order%3D3%26applied_value_id%3DMLB278156%26applied_value_name%3DFitas+T%C3%A9rmicas%26applied_value_order%3D1%26applied_value_results%3D1%26is_custom%3Dfalse
