categoria_completa,categoria,nivel_1,nivel_2,nivel_3,categoria_real,quantidade,link
"Acessórios para Veículos / Aces. de Carros e Caminhonetes / Exterior / Reboques / Cabos, Chicotes e Conectores / Outros","Acessórios para Veículos > Aces. de Carros e Caminhonetes > Exterior > Reboques > Cabos, Chicotes e Conectores",Acessórios para Veículos,Aces. de Carros e Caminhonetes,Exterior,Outros,1,https://lista.mercadolivre.com.br/acessorios-veiculos/aces-carros-caminhonetes/exterior/reboques/cabos-chicotes-conectores/outros/_NoIndex_True?original_category_landing=true
Acessórios para Veículos / Aces. de Carros e Caminhonetes / Exterior / Reboques / Correntes Seguranca,Acessórios para Veículos > Aces. de Carros e Caminhonetes > Exterior > Reboques,Acessórios para Veículos,Aces. de Carros e Caminhonetes,Exterior,Correntes Seguranca,7,https://lista.mercadolivre.com.br/acessorios-veiculos/aces-carros-caminhonetes/exterior/reboques/correntes-seguranca/_NoIndex_True?original_category_landing=true
Acessórios para Veículos / Aces. de Carros e Caminhonetes / Exterior / Retira-neves / Bombas,Acessórios para Veículos > Aces. de Carros e Caminhonetes > Exterior > Retira-neves,Acessórios para Veículos,Aces. de Carros e Caminhonetes,Exterior,Bombas,8,https://lista.mercadolivre.com.br/acessorios-veiculos/aces-carros-caminhonetes/exterior/retira-neves/bombas/_NoIndex_True?original_category_landing=true
Acessórios para Veículos / Aces. de Carros e Caminhonetes / Exterior / Retira-neves / Controles para Arado de Neve / Controles Arado Neve,Acessórios para Veículos > Aces. de Carros e Caminhonetes > Exterior > Retira-neves > Controles para Arado de Neve,Acessórios para Veículos,Aces. de Carros e Caminhonetes,Exterior,Controles Arado Neve,0,https://lista.mercadolivre.com.br/acessorios-veiculos/aces-carros-caminhonetes/exterior/retira-neves/controles-arado-neve/
Acessórios para Veículos / Aces. de Carros e Caminhonetes / Exterior / Retira-neves / Espargidores Sal,Acessórios para Veículos > Aces. de Carros e Caminhonetes > Exterior > Retira-neves,Acessórios para Veículos,Aces. de Carros e Caminhonetes,Exterior,Espargidores Sal,6,https://lista.mercadolivre.com.br/acessorios-veiculos/aces-carros-caminhonetes/exterior/retira-neves/espargidores-sal/_NoIndex_True?original_category_landing=true
Acessórios para Veículos / Aces. de Carros e Caminhonetes / Exterior / Retira-neves / Mangueiras Hidraulicas,Acessórios para Veículos > Aces. de Carros e Caminhonetes > Exterior > Retira-neves,Acessórios para Veículos,Aces. de Carros e Caminhonetes,Exterior,Mangueiras Hidraulicas,6,https://lista.mercadolivre.com.br/acessorios-veiculos/aces-carros-caminhonetes/exterior/retira-neves/mangueiras-hidraulicas/_NoIndex_True?original_category_landing=true
Acessórios para Veículos / Aces. de Carros e Caminhonetes / Exterior / Retira-neves / Molas de Desvio / Molas Desvio,Acessórios para Veículos > Aces. de Carros e Caminhonetes > Exterior > Retira-neves > Molas de Desvio,Acessórios para Veículos,Aces. de Carros e Caminhonetes,Exterior,Molas Desvio,0,https://lista.mercadolivre.com.br/acessorios-veiculos/aces-carros-caminhonetes/exterior/retira-neves/molas-desvio/
Acessórios para Veículos / Aces. de Carros e Caminhonetes / Exterior / Retira-neves / Motor Eletrico,Acessórios para Veículos > Aces. de Carros e Caminhonetes > Exterior > Retira-neves,Acessórios para Veículos,Aces. de Carros e Caminhonetes,Exterior,Motor Eletrico,6,https://lista.mercadolivre.com.br/acessorios-veiculos/aces-carros-caminhonetes/exterior/retira-neves/motor-eletrico/_NoIndex_True?original_category_landing=true
Acessórios para Veículos / Aces. de Carros e Caminhonetes / Exterior / Retira-neves / _Categid_459236,Acessórios para Veículos > Aces. de Carros e Caminhonetes > Exterior > Retira-neves,Acessórios para Veículos,Aces. de Carros e Caminhonetes,Exterior,_Categid_459236,1,https://lista.mercadolivre.com.br/_CategID_459236_NoIndex_True?original_category_landing=true
Acessórios para Veículos / Aces. de Carros e Caminhonetes / Exterior / Retira-neves / Sapatas,Acessórios para Veículos > Aces. de Carros e Caminhonetes > Exterior > Retira-neves,Acessórios para Veículos,Aces. de Carros e Caminhonetes,Exterior,Sapatas,6,https://lista.mercadolivre.com.br/acessorios-veiculos/aces-carros-caminhonetes/exterior/retira-neves/sapatas/_NoIndex_True?original_category_landing=true
Acessórios para Veículos / Aces. de Carros e Caminhonetes / Exterior / Retira-neves / Varetas Guia,Acessórios para Veículos > Aces. de Carros e Caminhonetes > Exterior > Retira-neves,Acessórios para Veículos,Aces. de Carros e Caminhonetes,Exterior,Varetas Guia,3,https://lista.mercadolivre.com.br/acessorios-veiculos/aces-carros-caminhonetes/exterior/retira-neves/varetas-guia/_NoIndex_True?original_category_landing=true
Acessórios para Veículos / Aces. de Carros e Caminhonetes / Interior / Componentes de Carregamento / Cabos de Carregamento / Cabos Reposicao,Acessórios para Veículos > Aces. de Carros e Caminhonetes > Interior > Componentes de Carregamento > Cabos de Carregamento,Acessórios para Veículos,Aces. de Carros e Caminhonetes,Interior,Cabos Reposicao,6,https://lista.mercadolivre.com.br/acessorios-veiculos/aces-carros-caminhonetes/interior/componentes-carregamento/cabos-carregamento/cabos-reposicao/_NoIndex_True?original_category_landing=true
Acessórios para Veículos / Aces. de Carros e Caminhonetes / Interior / Componentes de Carregamento / Cabos de Carregamento / Outros,Acessórios para Veículos > Aces. de Carros e Caminhonetes > Interior > Componentes de Carregamento > Cabos de Carregamento,Acessórios para Veículos,Aces. de Carros e Caminhonetes,Interior,Outros,3,https://lista.mercadolivre.com.br/acessorios-veiculos/aces-carros-caminhonetes/interior/componentes-carregamento/cabos-carregamento/outros/_NoIndex_True?original_category_landing=true
Acessórios para Veículos / Acessórios Náuticos / Ancoragem e Amarração / Cataventos,Acessórios para Veículos > Acessórios Náuticos > Ancoragem e Amarração,Acessórios para Veículos,Acessórios Náuticos,Ancoragem e Amarração,Cataventos,1,https://lista.mercadolivre.com.br/acessorios-veiculos/acessorios-nauticos/ancoragem-amarracao/cataventos/_NoIndex_True?original_category_landing=true
Acessórios para Veículos / Acessórios Náuticos / Interior da Cabine / Sanitários / Outros,Acessórios para Veículos > Acessórios Náuticos > Interior da Cabine > Sanitários,Acessórios para Veículos,Acessórios Náuticos,Interior da Cabine,Outros,4,https://lista.mercadolivre.com.br/acessorios-veiculos/acessorios-nauticos/interior-cabine/sanitarios/outros/_NoIndex_True?original_category_landing=true
Acessórios para Veículos / Acessórios Náuticos / Proteção e Transporte / Camas Marinhas,Acessórios para Veículos > Acessórios Náuticos > Proteção e Transporte,Acessórios para Veículos,Acessórios Náuticos,Proteção e Transporte,Camas Marinhas,7,https://lista.mercadolivre.com.br/acessorios-veiculos/acessorios-nauticos/protecao-transporte/camas-marinhas/_NoIndex_True?original_category_landing=true
Acessórios para Veículos / Acessórios Náuticos / Segurança e Salvamento / Aparelhos de Salvamento / Outros,Acessórios para Veículos > Acessórios Náuticos > Segurança e Salvamento > Aparelhos de Salvamento,Acessórios para Veículos,Acessórios Náuticos,Segurança e Salvamento,Outros,1,https://lista.mercadolivre.com.br/acessorios-veiculos/acessorios-nauticos/seguranca-salvamento/aparelhos-salvamento/outros/_NoIndex_True?original_category_landing=true
Acessórios para Veículos / Ferramentas para Veículos / Infladores / Outros,Acessórios para Veículos > Ferramentas para Veículos > Infladores,Acessórios para Veículos,Ferramentas para Veículos,Infladores,Outros,4,https://lista.mercadolivre.com.br/acessorios-veiculos/ferramentas-veiculos/infladores/outros/_NoIndex_True?original_category_landing=true
Acessórios para Veículos / GNV / Peças / Ensaio Hidráulico / Ensaio Hidraulico,Acessórios para Veículos > GNV > Peças > Ensaio Hidráulico,Acessórios para Veículos,GNV,Peças,Ensaio Hidraulico,0,https://lista.mercadolivre.com.br/acessorios-veiculos/gnv/pecas/ensaio-hidraulico/
Acessórios para Veículos / GNV / Peças / Pastilha Gnv,Acessórios para Veículos > GNV > Peças,Acessórios para Veículos,GNV,Peças,Pastilha Gnv,2,https://lista.mercadolivre.com.br/acessorios-veiculos/gnv/pecas/pastilha-gnv/_NoIndex_True?original_category_landing=true
Acessórios para Veículos / Lubrificantes e Fluidos / Náutica / Aditivos,Acessórios para Veículos > Lubrificantes e Fluidos > Náutica,Acessórios para Veículos,Lubrificantes e Fluidos,Náutica,Aditivos,4,https://lista.mercadolivre.com.br/acessorios-veiculos/lubrificantes-fluidos/nautica/aditivos/_NoIndex_True?original_category_landing=true
Acessórios para Veículos / Lubrificantes e Fluidos / Náutica / Oleos Transmissao Manual,Acessórios para Veículos > Lubrificantes e Fluidos > Náutica,Acessórios para Veículos,Lubrificantes e Fluidos,Náutica,Oleos Transmissao Manual,6,https://lista.mercadolivre.com.br/acessorios-veiculos/lubrificantes-fluidos/nautica/oleos-transmissao-manual/_NoIndex_True?original_category_landing=true
Acessórios para Veículos / Peças Náuticas / Convés e Cabine / Acessórios de Convés / Anti Gaivotas / Anti Gaivotas,Acessórios para Veículos > Peças Náuticas > Convés e Cabine > Acessórios de Convés > Anti Gaivotas,Acessórios para Veículos,Peças Náuticas,Convés e Cabine,Anti Gaivotas,0,https://lista.mercadolivre.com.br/acessorios-veiculos/pecas-nauticas/conves-cabine/acessorios-conves/anti-gaivotas/
Acessórios para Veículos / Peças Náuticas / Convés e Cabine / Acessórios de Convés / Guarda Chuvas Nauticos,Acessórios para Veículos > Peças Náuticas > Convés e Cabine > Acessórios de Convés,Acessórios para Veículos,Peças Náuticas,Convés e Cabine,Guarda Chuvas Nauticos,1,https://lista.mercadolivre.com.br/acessorios-veiculos/pecas-nauticas/conves-cabine/acessorios-conves/guarda-chuvas-nauticos/_NoIndex_True?original_category_landing=true
